Edge TPU Compiler version 16.0.384591198
Input: 5_1.tflite
Output: 5_1_edgetpu.tflite

Operator                       Count      Status

CONCATENATION                  10         Mapped to Edge TPU
SOFTMAX                        1          Mapped to Edge TPU
MAX_POOL_2D                    5          Mapped to Edge TPU
QUANTIZE                       2          Mapped to Edge TPU
DEPTHWISE_CONV_2D              1          Mapped to Edge TPU
CONV_2D                        70         Mapped to Edge TPU
AVERAGE_POOL_2D                8          Mapped to Edge TPU
RESHAPE                        1          Mapped to Edge TPU
